Uid,Title,Author,Abstract,Title_CN,Abstract_CN,Link,Meeting,Complete,Locked,Select1,Select2
1625,Bridging Differential Privacy and Byzantine-Robustness via Model Aggregation.,"Heng Zhu, Qing Ling","This paper aims at jointly addressing two seemly conflicting issues in federated learning: differential privacy (DP) and Byzantine-robustness, which are particularly challenging when the distributed data are non-i.i.d. (independent and identically distributed). The standard DP mechanisms add noise to the transmitted messages, and entangles with robust stochastic gradient aggregation to defend against Byzantine attacks. In this paper, we decouple the two issues via robust stochastic model aggregation, in the sense that our proposed DP mechanisms and the defense against Byzantine attacks have separated influence on the learning performance. Leveraging robust stochastic model aggregation, at each iteration, each worker calculates the difference between the local model and the global one, followed by sending the element-wise signs to the master node, which enables robustness to Byzantine attacks. Further, we design two DP mechanisms to perturb the uploaded signs for the purpose of privacy preservation, and prove that they are $(\epsilon,0)$-DP by exploiting the properties of noise distributions. With the tools of Moreau envelop and proximal point projection, we establish the convergence of the proposed algorithm when the cost function is nonconvex. We analyze the trade-off between privacy preservation and learning performance, and show that the influence of our proposed DP mechanisms is decoupled with that of robust stochastic model aggregation. Numerical experiments demonstrate the effectiveness of the proposed algorithm.",通过模型聚集弥合差异隐私和拜占庭式bub。,本文旨在共同解决联邦学习中的两个看似相互矛盾的问题：差异隐私（DP）和拜占庭式企业，这在分布式数据是非i.i.d时尤其具有挑战性。（独立和相同分布）。标准的DP机制为传输消息增加了噪音，并与强大的随机梯度聚集纠缠以防御拜占庭式攻击。在本文中，我们通过强大的随机模型聚合使这两个问题解除了这两个问题，从某种意义上说，我们提出的DP机制和对拜占庭式攻击的辩护对学习绩效的影响分开了。在每次迭代中，利用强大的随机模型聚合，每个工人都计算本地模型和全局模型之间的差异，然后将元素符号发送给主节点，这使拜占庭式攻击能够鲁棒性。此外，我们设计了两种DP机制来扰动上传的标志，以保存隐私，并通过利用噪声分布的属性来证明它们是$（\ epsilon，0）$ -DP。借助Moreau信封和近端投影的工具，当成本函数是非convex时，我们确定了所提出算法的收敛性。我们分析了隐私保护和学习绩效之间的权衡，并表明我们提出的DP机制的影响与强大的随机模型聚集是解耦的。数值实验证明了所提出的算法的有效性。,https://arxiv.org/abs/2205.00107,IJCAI,True,False,False,False
1626,Pruning-as-Search: Efficient Neural Architecture Search via Channel Pruning and Structural Reparameterization.,"Yanyu Li, Pu Zhao, Geng Yuan, Xue Lin, Yanzhi Wang, Xin Chen","Neural architecture search (NAS) and network pruning are widely studied efficient AI techniques, but not yet perfect. NAS performs exhaustive candidate architecture search, incurring tremendous search cost. Though (structured) pruning can simply shrink model dimension, it remains unclear how to decide the per-layer sparsity automatically and optimally. In this work, we revisit the problem of layer-width optimization and propose Pruning-as-Search (PaS), an end-to-end channel pruning method to search out desired sub-network automatically and efficiently. Specifically, we add a depth-wise binary convolution to learn pruning policies directly through gradient descent. By combining the structural reparameterization and PaS, we successfully searched out a new family of VGG-like and lightweight networks, which enable the flexibility of arbitrary width with respect to each layer instead of each stage. Experimental results show that our proposed architecture outperforms prior arts by around $1.0\%$ top-1 accuracy under similar inference speed on ImageNet-1000 classification task. Furthermore, we demonstrate the effectiveness of our width search on complex tasks including instance segmentation and image translation. Code and models are released.",修剪 - 搜索：通过通道修剪和结构重新聚体化的有效神经体系结构搜索。,神经体系结构搜索（NAS）和网络修剪经过广泛研究，但尚不完美。NAS执行详尽的候选架构搜索，并产生了巨大的搜索成本。尽管（结构化的）修剪可以简单地缩小模型维度，但尚不清楚如何自动和最佳地决定每层稀疏度。在这项工作中，我们重新审视了图层宽度优化的问题，并提出了修剪 - 搜索（PAS），这是一种端到端的通道修剪方法，可以自动有效地搜索所需的子网络。具体而言，我们添加了深度二进制卷积，以直接通过梯度下降来学习修剪政策。通过结合结构重新聚体化和PA，我们成功地搜索了一个新的类似VGG和轻质网络的家族，这可以使任意宽度相对于每个阶段而不是每个阶段的灵活性。实验结果表明，在Imagenet-1000分类任务上，我们提出的架构的表现优于先前的艺术$ 1.0 \％$ $ TOP-1的准确性。此外，我们证明了我们对复杂任务（包括实例分割和图像翻译）的宽度搜索的有效性。代码和模型已发布。,https://arxiv.org/abs/2206.01198,IJCAI,True,False,False,False
1627,SoFaiR: Single Shot Fair Representation Learning.,"Xavier Gitiaux, Huzefa Rangwala","To avoid discriminatory uses of their data, organizations can learn to map them into a representation that filters out information related to sensitive attributes. However, all existing methods in fair representation learning generate a fairness-information trade-off. To achieve different points on the fairness-information plane, one must train different models. In this paper, we first demonstrate that fairness-information trade-offs are fully characterized by rate-distortion trade-offs. Then, we use this key result and propose SoFaiR, a single shot fair representation learning method that generates with one trained model many points on the fairness-information plane. Besides its computational saving, our single-shot approach is, to the extent of our knowledge, the first fair representation learning method that explains what information is affected by changes in the fairness / distortion properties of the representation. Empirically, we find on three datasets that SoFaiR achieves similar fairness-information trade-offs as its multi-shot counterparts.",Sofair：单拍的公平代表学习。,为了避免其数据的歧视用途，组织可以学会将其映射到一个表示与敏感属性有关的信息的表示中。但是，公平代表学习中的所有现有方法都会产生公平的信息权衡。为了在公平信息平面上实现不同的观点，必须训练不同的模型。在本文中，我们首先证明了公平信息的权衡取决于利率差异。然后，我们使用此关键结果，并提出Sofair，这是一种单镜头公平表示学习方法，该方法在公平信息传播平面上使用一个训练有素的模型生成许多点。除了其计算节省外，我们的单发方法是，在我们的知识范围内，是第一个公平表示学习方法，该方法解释了代表的公平 /失真属性的变化影响了哪些信息。从经验上讲，我们在三个数据集中发现，SOFAIR实现了与多拍的相似的公平信息权衡取舍。,https://arxiv.org/abs/2204.12556,IJCAI,True,False,False,False
1628,RePre: Improving Self-Supervised Vision Transformer with Reconstructive Pre-training.,"Luya Wang, Feng Liang, Yangguang Li, Honggang Zhang, Wanli Ouyang, Jing Shao","Recently, self-supervised vision transformers have attracted unprecedented attention for their impressive representation learning ability. However, the dominant method, contrastive learning, mainly relies on an instance discrimination pretext task, which learns a global understanding of the image. This paper incorporates local feature learning into self-supervised vision transformers via Reconstructive Pre-training (RePre). Our RePre extends contrastive frameworks by adding a branch for reconstructing raw image pixels in parallel with the existing contrastive objective. RePre is equipped with a lightweight convolution-based decoder that fuses the multi-hierarchy features from the transformer encoder. The multi-hierarchy features provide rich supervisions from low to high semantic information, which are crucial for our RePre. Our RePre brings decent improvements on various contrastive frameworks with different vision transformer architectures. Transfer performance in downstream tasks outperforms supervised pre-training and state-of-the-art (SOTA) self-supervised counterparts.",repre：通过重建性预训练改善自我监督的视力变压器。,最近，自我监督的视觉变形金刚因其令人印象深刻的表示能力而引起了前所未有的关注。但是，主要的方法是对比学习，主要依赖于实例歧视借口任务，该任务了解了对图像的全球理解。本文通过重建预训练（REPRE）将本地特征学习纳入自我监督的视觉变压器中。我们的repre通过添加一个分支来与现有的对比目标并行重建原始图像像素来扩展对比框架。Repre配备了基于轻量级卷积的解码器，该解码器融合了变压器编码器的多层次结构功能。多等级结构功能可提供从低到高语义信息的丰富监督，这对我们的repre至关重要。我们的代表对具有不同视觉变压器体系结构的各种对比框架进行了体面的改进。下游任务中的转移性能优于监督预训练和最先进的（SOTA）自我监督的同行。,https://arxiv.org/abs/2201.06857,IJCAI,True,False,False,False
1629,Region-Aware Metric Learning for Open World Semantic Segmentation via Meta-Channel Aggregation.,"Hexin Dong, Zifan Chen, Mingze Yuan, Yutong Xie, Jie Zhao, Fei Yu, Bin Dong, Li Zhang","As one of the most challenging and practical segmentation tasks, open-world semantic segmentation requires the model to segment the anomaly regions in the images and incrementally learn to segment out-of-distribution (OOD) objects, especially under a few-shot condition. The current state-of-the-art (SOTA) method, Deep Metric Learning Network (DMLNet), relies on pixel-level metric learning, with which the identification of similar regions having different semantics is difficult. Therefore, we propose a method called region-aware metric learning (RAML), which first separates the regions of the images and generates region-aware features for further metric learning. RAML improves the integrity of the segmented anomaly regions. Moreover, we propose a novel meta-channel aggregation (MCA) module to further separate anomaly regions, forming high-quality sub-region candidates and thereby improving the model performance for OOD objects. To evaluate the proposed RAML, we have conducted extensive experiments and ablation studies on Lost And Found and Road Anomaly datasets for anomaly segmentation and the CityScapes dataset for incremental few-shot learning. The results show that the proposed RAML achieves SOTA performance in both stages of open world segmentation. Our code and appendix are available at https://github.com/czifan/RAML.",通过元通道聚合，开放世界语义分割的区域感知度量学习。,作为最具挑战性和实用的分割任务之一，开放世界的语义细分要求模型在图像中分割异常区域，并逐步学会将分布分布（OOD）对象细分，尤其是在几个弹药条件下。当前的最新方法（SOTA）方法，深度度量学习网络（DMLNET）依赖于像素级度量学习，因此很难识别具有不同语义的类似区域。因此，我们提出了一种称为区域感知度量学习（RAML）的方法，该方法首先将图像区域分开，并生成具有进一步度量学习的区域感知特征。RAML改善了分段异常区域的完整性。此外，我们提出了一种新型的元通道聚集（MCA）模块，以进一步分离异常区域，形成高质量的子区域候选物，从而改善OOD对象的模型性能。为了评估所提出的RAML，我们已经对丢失和发现以及用于异常分割的道路异常数据集进行了广泛的实验和消融研究，并进行了CityScapes数据集，以逐步学习。结果表明，拟议的RAML在开放世界细分的两个阶段都达到了SOTA性能。我们的代码和附录可在https://github.com/czifan/raml上找到。,https://arxiv.org/abs/2205.08083,IJCAI,True,False,False,False
1630,"Bootstrapping Informative Graph Augmentation via A Meta Learning
  Approach","Hang Gao, Jiangmeng Li, Wenwen Qiang, Lingyu Si, Changwen Zheng, Fuchun Sun","Recent works explore learning graph representations in a self-supervised manner. In graph contrastive learning, benchmark methods apply various graph augmentation approaches. However, most of the augmentation methods are non-learnable, which causes the issue of generating unbeneficial augmented graphs. Such augmentation may degenerate the representation ability of graph contrastive learning methods. Therefore, we motivate our method to generate augmented graph by a learnable graph augmenter, called MEta Graph Augmentation (MEGA). We then clarify that a ""good"" graph augmentation must have uniformity at the instance-level and informativeness at the feature-level. To this end, we propose a novel approach to learning a graph augmenter that can generate an augmentation with uniformity and informativeness. The objective of the graph augmenter is to promote our feature extraction network to learn a more discriminative feature representation, which motivates us to propose a meta-learning paradigm. Empirically, the experiments across multiple benchmark datasets demonstrate that MEGA outperforms the state-of-the-art methods in graph self-supervised learning tasks. Further experimental studies prove the effectiveness of different terms of MEGA.","通过元学习进行引导信息增强图
  方法",最近的作品以一种自我监督的方式探索学习图表。在图对比度学习中，基准方法采用了各种图形增强方法。但是，大多数增强方法是不可行的，这导致产生无晶增强图的问题。这种增强可能会退化图形对比学习方法的表示能力。因此，我们激励我们通过可学习的图表增强器（称为Meta Graph Exmentation（Mega））生成增强图的方法。然后，我们澄清说，“良好”的图形扩展必须在实例级别和功能级别的信息级别上具有统一性。为此，我们提出了一种新型的方法来学习增强图，该方法可以以统一性和信息性产生增强。图表增强器的目的是促进我们的功能提取网络，以学习更具歧视性的特征表示，这激发了我们提出元学习范式。从经验上讲，多个基准数据集的实验表明，大型的表现优于图形自学学习任务中最新方法。进一步的实验研究证明了不同术语的有效性。,https://arxiv.org/abs/2201.03812,IJCAI,True,False,False,False
1631,Multi-Agent Reinforcement Learning for Traffic Signal Control through Universal Communication Method.,"Qize Jiang, Minhao Qin, Shengmin Shi, Weiwei Sun, Baihua Zheng","How to coordinate the communication among intersections effectively in real complex traffic scenarios with multi-intersection is challenging. Existing approaches only enable the communication in a heuristic manner without considering the content/importance of information to be shared. In this paper, we propose a universal communication form UniComm between intersections. UniComm embeds massive observations collected at one agent into crucial predictions of their impact on its neighbors, which improves the communication efficiency and is universal across existing methods. We also propose a concise network UniLight to make full use of communications enabled by UniComm. Experimental results on real datasets demonstrate that UniComm universally improves the performance of existing state-of-the-art methods, and UniLight significantly outperforms existing methods on a wide range of traffic situations.",通过通用通信方法进行交通信号控制的多代理增强学习。,如何在实际复杂的交通情况下与多交流有效地协调交叉点之间的交流是具有挑战性的。现有方法仅以启发式方式使通信无需考虑要共享信息的内容/重要性。在本文中，我们提出了在交集之间的普遍通信形式。Unicomm嵌入了一种在一个代理商中收集的大量观察结果，以对其对邻居的影响进行关键预测，从而提高了沟通效率，并且在现有方法中是普遍的。我们还提出了一个简洁的网络UNILIGHT，以充分利用Unicomm启用的通信。真实数据集的实验结果表明，Unicomm普遍提高现有最新方法的性能，而单一的实验性能在广泛的交通情况下明显优于现有方法。,https://arxiv.org/abs/2204.12190,IJCAI,True,False,False,False
1632,Domain Adaptation via Maximizing Surrogate Mutual Information.,"Haiteng Zhao, Chang Ma, Qinyu Chen, Zhihong Deng","Unsupervised domain adaptation (UDA), which is an important topic in transfer learning, aims to predict unlabeled data from target domain with access to labeled data from the source domain. In this work, we propose a novel framework called SIDA (Surrogate Mutual Information Maximization Domain Adaptation) with strong theoretical guarantees. To be specific, SIDA implements adaptation by maximizing mutual information (MI) between features. In the framework, a surrogate joint distribution models the underlying joint distribution of the unlabeled target domain. Our theoretical analysis validates SIDA by bounding the expected risk on target domain with MI and surrogate distribution bias. Experiments show that our approach is comparable with state-of-the-art unsupervised adaptation methods on standard UDA tasks.",域通过最大化替代互信息的适应性。,无监督的域适应性（UDA）是转移学习的重要主题，旨在通过从源域中访问标记数据的目标域中预测未标记的数据。在这项工作中，我们提出了一个名为SIDA（替代信息最大化域适应性）的新型框架，并具有强大的理论保证。具体而言，SIDA通过在特征之间最大化相互信息（MI）来实现适应。在框架中，替代联合分布模拟未标记目标域的基本关节分布。我们的理论分析通过将目标域的预期风险与MI和替代分布偏置界定来验证SIDA。实验表明，我们的方法与标准UDA任务的最新无监督适应方法相媲美。,https://arxiv.org/abs/2110.12184,IJCAI,True,False,False,False
1633,Neural Subgraph Explorer: Reducing Noisy Information via Target-oriented Syntax Graph Pruning.,"Bowen Xing, Ivor W. Tsang","Recent years have witnessed the emerging success of leveraging syntax graphs for the target sentiment classification task. However, we discover that existing syntax-based models suffer from two issues: noisy information aggregation and loss of distant correlations. In this paper, we propose a novel model termed Neural Subgraph Explorer, which (1) reduces the noisy information via pruning target-irrelevant nodes on the syntax graph; (2) introduces beneficial first-order connections between the target and its related words into the obtained graph. Specifically, we design a multi-hop actions score estimator to evaluate the value of each word regarding the specific target. The discrete action sequence is sampled through Gumble-Softmax and then used for both of the syntax graph and the self-attention graph. To introduce the first-order connections between the target and its relevant words, the two pruned graphs are merged. Finally, graph convolution is conducted on the obtained unified graph to update the hidden states. And this process is stacked with multiple layers. To our knowledge, this is the first attempt of target-oriented syntax graph pruning in this task. Experimental results demonstrate the superiority of our model, which achieves new state-of-the-art performance.",神经子图探索器：通过面向目标的语法图修剪来减少嘈杂的信息。,近年来见证了利用语法图对目标情感分类任务的新兴成功。但是，我们发现现有的基于语法的模型遇到了两个问题：嘈杂的信息聚集和遥远相关性的丧失。在本文中，我们提出了一个称为神经子图探险家的新型模型，该模型（1）通过在语法图上的修剪靶标的节点减少嘈杂的信息；（2）将目标及其相关词之间的有益的一阶连接引入获得的图。具体而言，我们设计了一个多跳动动作分数估计器，以评估每个单词有关特定目标的值。通过Gumble-Softmax对离散动作序列进行采样，然后用于语法图和自我发项图。为了引入目标与其相关词之间的一阶连接，合并了两个修剪图。最后，在获得的统一图上进行图形卷积以更新隐藏状态。此过程堆叠了多层。据我们所知，这是该任务中面向目标的语法图的首次尝试。实验结果证明了我们的模型的优势，该模型实现了新的最先进的性能。,https://arxiv.org/abs/2205.10970,IJCAI,True,False,False,False
1634,HashNWalk: Hash and Random Walk Based Anomaly Detection in Hyperedge Streams.,"Geon Lee, Minyoung Choe, Kijung Shin","Sequences of group interactions, such as emails, online discussions, and co-authorships, are ubiquitous; and they are naturally represented as a stream of hyperedges. Despite their broad potential applications, anomaly detection in hypergraphs (i.e., sets of hyperedges) has received surprisingly little attention, compared to that in graphs. While it is tempting to reduce hypergraphs to graphs and apply existing graph-based methods, according to our experiments, taking higher-order structures of hypergraphs into consideration is worthwhile. We propose HashNWalk, an incremental algorithm that detects anomalies in a stream of hyperedges. It maintains and updates a constant-size summary of the structural and temporal information about the stream. Using the summary, which is the form of a proximity matrix, HashNWalk measures the anomalousness of each new hyperedge as it appears. HashNWalk is (a) Fast: it processes each hyperedge in near real-time and billions of hyperedges within a few hours, (b) Space Efficient: the size of the maintained summary is a predefined constant, (c) Effective: it successfully detects anomalous hyperedges in real-world hypergraphs.",Hashnwalk：Hash和随机步行基于Hyperdegy流中的异常检测。,群体互动的序列，例如电子邮件，在线讨论和共同创作，无处不在；而且它们自然地表示为一系列Hyperedges。尽管具有广泛的潜在应用，但与图中相比，相比之下，超图中的异常检测（即，超级中期集）的注意力很少。根据我们的实验，虽然诱使减少图形的超图并应用现有的基于图的方法，但考虑到高阶层的高阶结构值得考虑。我们提出了Hashnwalk，这是一种增量算法，可检测Hyperedges流中的异常。它维护和更新有关流的结构和时间信息的恒定尺寸摘要。使用摘要（即接近矩阵的形式）hashnwalk测量每个新的超edge的异常性。hashnwalk是（a）快速：它在几个小时内接近实时处理每个高架，（b）空间有效：维护摘要的大小是预定义常数，（c）有效：它成功地检测到了。现实世界中超图中的异常性超蛋白质。,https://arxiv.org/abs/2204.13822,IJCAI,True,False,False,False
